bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types,duration_seconds,threat_score,avg_packet_size
4220,11570,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,136.226.80.97,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,600.0,0,26.316666666666666
26354,13404,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,147.161.161.82,AE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,600.0,0,66.26333333333334
33777,20132,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,165.225.33.6,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,600.0,5,89.84833333333333
28762,43272,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,600.0,2,120.05666666666667
28478,13260,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,165.225.212.255,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,600.0,0,69.56333333333333
4288,11490,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,94.188.248.74,IL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,600.0,0,26.296666666666667
8874,14968,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,600.0,0,39.736666666666665
4793434,292176,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,600.0,5,8476.016666666666
16948,20348,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,600.0,2,62.16
5810,13090,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,147.161.161.82,AE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:10:00Z,waf_rule,600.0,0,31.5
28730,28386,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:10:00Z,waf_rule,600.0,2,95.19333333333333
29002,15654,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,165.225.213.7,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:10:00Z,waf_rule,600.0,0,74.42666666666666
44270,21924,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,136.226.64.114,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:10:00Z,waf_rule,600.0,5,110.32333333333334
2019990,55292,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,165.225.240.79,NL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:10:00Z,waf_rule,600.0,5,3458.8033333333333
3498,2800,2024-04-26 00:10:00+00:00,2024-04-26 00:20:00+00:00,94.188.248.74,IL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:10:00Z,waf_rule,600.0,0,10.496666666666666
